id	name	smiles	MolWt	CalcLogP	NumHAcceptors	NumHDonors	NumRotatableBonds	FractionCSP3	NumValenceElectrons	NumHeavyAtoms	RingCount	NumAromaticRings	NumAliphaticRings	NumHeteroatoms	NumHalogens
MUKY201123	Dinoterb	[O-][N+](=O)c1cc(cc(c1O)C(C)(C)C)[N+]([O-])=O	240.215	2.506100000000001	5.0	1.0	2.0	0.4	92.0	17.0	1.0	1.0	0.0	7.0	0.0
MUEI202058	Ethoprophos	O=P(SCCC)(OCC)SCCC	242.34599999999995	4.417400000000003	4.0	0.0	8.0	1.0	80.0	13.0	0.0	0.0	0.0	5.0	0.0
MUCU745579	Ethyl thiocyanate	CCSC#N	87.147	1.22058	2.0	0.0	1.0	0.6666666666666666	28.0	5.0	0.0	0.0	0.0	2.0	0.0
MUDO571179	Pyrazophos	S=P(OCC)(OCC)Oc1nn2cc(c(nc2c1)C)C(=O)OCC	373.37100000000015	2.890720000000001	9.0	0.0	8.0	0.5	132.0	24.0	2.0	2.0	0.0	10.0	0.0
MUVM720398	Fensulfothion	S=P(Oc1ccc(cc1)S(=O)C)(OCC)OCC	308.36100000000005	3.1003000000000016	5.0	0.0	7.0	0.4545454545454545	102.0	18.0	1.0	1.0	0.0	7.0	0.0
MUSQ479022	Propamocarb	O=C(OCCC)NCCCN(C)C	188.271	1.0742999999999998	3.0	1.0	6.0	0.8888888888888888	78.0	13.0	0.0	0.0	0.0	4.0	0.0
MUNB221883	1,1,2,2,3,3-Hexachloropropane	C(C(C(Cl)Cl)(Cl)Cl)(Cl)Cl	250.767	3.767700000000001	0.0	0.0	2.0	1.0	56.0	9.0	0.0	0.0	0.0	6.0	6.0
MUUW406268	1,1,1,2,2,3,3-Heptachloropropane	C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl	285.212	4.3342	0.0	0.0	1.0	1.0	62.0	10.0	0.0	0.0	0.0	7.0	7.0
MUOX713273	Fonofos	CCOP(=S)(CC)Sc1ccccc1	246.33700000000005	4.144600000000003	3.0	0.0	5.0	0.4	78.0	14.0	1.0	1.0	0.0	4.0	0.0
MUGC245718	1,3-Dichloropropane	ClCCCCl	112.987	1.8541	0.0	0.0	2.0	1.0	32.0	5.0	0.0	0.0	0.0	2.0	2.0
MUIW764340	1,1,1,2-Tetrachloropropane	CC(C(Cl)(Cl)Cl)Cl	181.877	2.983900000000001	0.0	0.0	0.0	1.0	44.0	7.0	0.0	0.0	0.0	4.0	4.0
MUSG190789	Formetanate	O=C(Oc1cccc(\N=C\N(C)C)c1)NC	221.26	1.6262	3.0	1.0	3.0	0.2727272727272727	86.0	16.0	1.0	1.0	0.0	5.0	0.0
MUGJ187784	Fluenetil	O=C(OCCF)Cc1ccc(cc1)c2ccccc2	258.29200000000003	3.408800000000002	2.0	0.0	5.0	0.1875	98.0	19.0	2.0	2.0	0.0	3.0	1.0
MUKS621180	Formothion	O=C(N(C=O)C)CSP(=S)(OC)OC	257.273	0.8516999999999998	6.0	0.0	6.0	0.6666666666666666	82.0	14.0	0.0	0.0	0.0	8.0	0.0
MUYT545683	Formparanate	O=C(Oc1cc(C)c(cc1)/N=C/N(C)C)NC	235.287	1.93462	3.0	1.0	3.0	0.3333333333333333	92.0	17.0	1.0	1.0	0.0	5.0	0.0
MUUC325651	Fosthietan	O=P(OCC)(/N=C1\SCS1)OCC	241.274	2.961000000000001	5.0	0.0	5.0	0.8333333333333334	76.0	13.0	1.0	0.0	1.0	7.0	0.0
MUFB083419	Fenarimol	Clc1ccc(cc1)C(O)(c2ccccc2Cl)c3cncnc3	331.20200000000006	4.067600000000001	3.0	1.0	3.0	0.0588235294117647	110.0	22.0	3.0	3.0	0.0	5.0	2.0
MUQH114063	Terbufos	S=P(OCC)(SCSC(C)(C)C)OCC	288.44000000000005	4.506300000000004	5.0	0.0	7.0	1.0	92.0	15.0	0.0	0.0	0.0	6.0	0.0
MUVI249881	Thiofanox	O=C(ON=C(C(C)(C)C)CSC)NC	218.322	2.1075	4.0	1.0	3.0	0.7777777777777778	82.0	14.0	0.0	0.0	0.0	5.0	0.0
MUUC768132	Thionazin	S=P(Oc1nccnc1)(OCC)OCC	248.244	2.1529	6.0	0.0	6.0	0.5	84.0	15.0	1.0	1.0	0.0	7.0	0.0
MUCS970330	Triamiphos	O=P(n1nc(nc1N)c2ccccc2)(N(C)C)N(C)C	294.29900000000004	1.6066999999999998	5.0	1.0	4.0	0.3333333333333333	108.0	20.0	2.0	2.0	0.0	8.0	0.0
MUQK228538	Triazofos	S=P(OCC)(OCC)Oc1ncn(n1)c2ccccc2	313.319	2.943600000000001	7.0	0.0	7.0	0.3333333333333333	108.0	20.0	2.0	2.0	0.0	8.0	0.0
MUJS983400	Trichloronate	Clc1cc(OP(=S)(OCC)CC)c(Cl)cc1Cl	333.60400000000004	5.391500000000002	3.0	0.0	5.0	0.4	96.0	17.0	1.0	1.0	0.0	7.0	3.0
MUFA176437	Octachloropropane	C(C(Cl)(Cl)Cl)(C(Cl)(Cl)Cl)(Cl)Cl	319.65700000000004	4.9007	0.0	0.0	0.0	1.0	68.0	11.0	0.0	0.0	0.0	8.0	8.0
MUUX794330	Thiocyanuric acid	C1(=S)NC(=S)NC(=S)N1	177.27900000000002	1.8593699999999995	3.0	3.0	0.0	0.0	48.0	9.0	1.0	1.0	0.0	6.0	0.0
MUZQ006166	Frontalin	C[C@@]12CCC[C@@](O1)(OC2)C	142.198	1.692	2.0	0.0	0.0	1.0	58.0	10.0	2.0	0.0	2.0	2.0	0.0
MUQH568365	Prosulfocarb	CCCN(CCC)C(=O)SCC1=CC=CC=C1	251.395	4.161800000000003	2.0	0.0	6.0	0.5	94.0	17.0	1.0	1.0	0.0	3.0	0.0
MUNM667409	Diflufenican	C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F	394.299	5.423200000000001	3.0	1.0	4.0	0.0526315789473684	144.0	28.0	3.0	3.0	0.0	9.0	5.0
MUGE692427	White phosphorus	P12P3P1P23	123.896	3.4448	0.0	0.0	0.0	0.0	20.0	4.0	4.0	4.0	0.0	4.0	0.0
MUTU399566	Red phosphorus	[P]	30.974	0.8612	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0
MUSJ620563	Isoproturon	N(C(N(C)C)=O)C1=CC=C(C(C)C)C=C1	206.289	2.903500000000001	1.0	1.0	2.0	0.4166666666666667	82.0	15.0	1.0	1.0	0.0	3.0	0.0
