id	name	smiles	MolWt	CalcLogP	TPSA	NumHAcceptors	NumHDonors	NumRotatableBonds	FractionCSP3	NumValenceElectrons	NumHeavyAtoms	RingCount	NumAromaticRings	NumAliphaticRings	NumHeteroatoms	NumHalogens
MUTM872984	Amygdalin	N#C[C@H](O[C@@H]2O[C@H](CO[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)[C@@H](O)[C@H](O)[C@H]2O)c3ccccc3	457.43200000000013	-3.108019999999998	202.32	12	7	7	0.65	178	32	3	1	2	12	0
MUTR777108	Amygdalin	O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3OC[C@H]2O[C@@H](OC(C#N)c1ccccc1)[C@H](O)[C@@H](O)[C@@H]2O	457.4320000000001	-3.108019999999995	202.32	12	7	7	0.65	178	32	3	1	2	12	0
MUSE391203	Boron nitride	B#N	24.819	-0.36572000000000005	23.79	1	0	0	0.0	8	2	0	0	0	2	0
MUNX078836	Bicarbonate	OC([O-])=O	61.016000000000005	-1.1123	60.36	2	1	0	0.0	24	4	0	0	0	3	0
MUKD904753	Benzoic acid	O=C(O)c1ccccc1	122.12299999999996	1.3848	37.3	1	1	1	0.0	46	9	1	1	0	2	0
MUPS568881	Bakelite	Oc0ccccc0Cc0cc(C1)c(O)c(c0)Cc0c(O)ccc(c0)Cc0ccc(O)c(c0)Cc0c(O)ccc(c0)Cc0c(O)ccc(c0)Cc0c(O)c(C2)cc(c0)Cc0c(O)ccc(c0)Cc(c0O)cc2cc0Cc0cc(Cc2ccc(O)cc2)c(O)c(c0)Cc0c(O)ccc(c0)C1	1299.5259999999998	15.65539999999995	242.75999999999996	12	12	4	0.16279069767441862	490	98	14	12	2	12	0
MURO714850	Carbon dioxide	O=C=O	44.009	-0.5835	34.14	2	0	0	0.0	16	3	0	0	0	2	0
MUFD458798	Cyanide	[C-]#N	26.018	0.09637	23.79	1	0	0	0.0	10	2	0	0	0	1	0
MUQH668035	Carbonate	C(=O)([O-])[O-]	60.008	-2.447	63.19	3	0	0	0.0	24	4	0	0	0	3	0
MURA620864	Cytosine	O=C1Nccc(N)n1	111.10400000000001	-0.6479000000000001	71.77	3	2	0	0.0	42	8	1	1	0	4	0
MUAZ847837	Carbon monoxide	[C-]#[O+]	28.009999999999998	-0.03751	19.9	0	0	0	0.0	10	2	0	0	0	1	0
MUCM646449	Chloramphenicol	c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	323.13200000000006	0.9089999999999998	112.70000000000002	5	3	6	0.36363636363636365	110	20	1	1	0	9	2
MUXH376791	Cholesterol	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C	386.66400000000016	7.38870000000001	20.23	1	1	5	0.9259259259259259	160	28	4	0	4	1	0
MUOX211258	Ciprofloxacin	C1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O	331.3470000000001	1.5832999999999997	74.57	5	2	3	0.4117647058823529	126	24	4	2	2	7	1
MUDL921012	Caffeine	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	194.194	-1.0293	61.82	6	0	0	0.375	74	14	2	2	0	6	0
MUAG931008	Carbamazepine	c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N	236.27399999999997	3.3872000000000018	46.33	1	1	0	0.0	88	18	3	2	1	3	0
MUHF894549	Cyclic adenosine monophosphate	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)O)N	329.20900000000006	-0.8174000000000003	154.84	10	3	1	0.5	118	22	4	2	2	12	0
MUHF944489	RDX	C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	222.117	-1.6463999999999988	139.14000000000001	6	0	3	1.0	84	15	1	0	1	12	0
MULB939129	Cocaine	CN1[C@H]2CC[C@@H]1[C@@H](C(OC)=O)[C@@H](OC(C3=CC=CC=C3)=O)C2	303.35800000000006	1.8676999999999992	55.839999999999996	5	0	3	0.5294117647058824	118	22	3	1	2	5	0
MUNE010887	DDT	ClC1=CC=C(C(C(Cl)(Cl)Cl)C2=CC=C(C=C2)Cl)C=C1	354.491	6.4955000000000025	0.0	0	0	2	0.14285714285714285	100	19	2	2	0	5	5
MUML732707	Dimethyltryptamine	CN(CCC1=CNC2=C1C=CC=C2)C	188.274	2.2720000000000002	19.03	1	1	3	0.3333333333333333	74	14	2	2	0	2	0
MUOW452088	Dehydroepiandrosterone	O=C3[C@]2(CC[C@@H]1[C@@]4(C(=C/C[C@H]1[C@@H]2CC3)\C[C@@H](O)CC4)C)C	288.43100000000004	3.8792000000000026	37.3	2	1	0	0.8421052631578947	116	21	4	0	4	2	0
MUVL383809	Ethylene	C=C	28.053999999999995	0.8022	0.0	0	0	0	0.0	12	2	0	0	0	0	0
MUTQ340050	MDMA	CC(NC)CC1=CC=C(OCO2)C2=C1	193.24599999999995	1.5656999999999999	30.49	3	1	3	0.45454545454545453	76	14	2	1	1	3	0
MUST482618	Ethanol	OCC	46.069	-0.0014000000000000679	20.23	1	1	0	1.0	20	3	0	0	0	1	0
MUMX301443	Erythromycin	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O	733.9370000000002	1.785600000000004	193.91	14	5	7	0.9459459459459459	298	51	3	0	3	14	0
MUDM459917	Flunitrazepam	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21	313.28800000000007	2.5477000000000007	75.81	4	0	2	0.125	116	23	3	2	1	7	1
MUKO231694	Glycine	C(C(=O)O)N	75.06700000000001	-0.9702999999999999	63.31999999999999	2	2	1	0.5	30	5	0	0	0	3	0
MUTQ197618	Glycine	C(C(=O)[O-])[NH3+]	75.06700000000001	-3.0218	67.77	2	1	1	0.5	30	5	0	0	0	3	0
MUWL329361	Glycine	C(C(=O)O)N.Cl	111.528	-0.5484999999999998	63.31999999999999	2	2	1	0.5	38	6	0	0	0	4	1
MUFB407828	Guanosine	c1nc2c(=O)[nH]c(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N	283.244	-2.6866999999999988	159.51000000000002	9	5	2	0.5	108	20	3	2	1	10	0
MUHE801604	Guanine	N1C(N)=NC=2NC=NC2C1=O	151.129	-0.7716000000000003	100.45000000000002	4	3	0	0.0	56	11	2	2	0	6	0
MUJB922742	Guanine	OC1=C2N=CNC2=NC(=N1)N	151.129	-0.35930000000000034	100.71	5	3	0	0.0	56	11	2	2	0	6	0
MUAR328339	Glucose	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O	180.156	-3.2213999999999987	110.38000000000001	6	5	1	1.0	72	12	1	0	1	6	0
MUCD796599	Glucose	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	180.156	-3.2214000000000005	110.38000000000001	6	5	1	1.0	72	12	1	0	1	6	0
MUPG355710	Γ-Hydroxybutyric acid	O=C(O)CCCO	104.105	-0.15650000000000003	57.53	2	2	3	0.75	42	7	0	0	0	3	0
MUFY042841	Hydroxide	[OH-]	17.007	-0.1768	30.0	1	0	0	0.0	8	1	0	0	0	1	0
MUPP877284	Heroin	CC(OC1=C(O[C@@H]2[C@]34CCN(C)[C@@H]([C@@H]4C=C[C@@H]2OC(C)=O)C5)C3=C5C=C1)=O	369.4170000000002	1.9886	65.07	6	0	2	0.5238095238095238	142	27	5	1	4	6	0
MUCH074654	Heavy water	[2H]O[2H]	20.027203556	-0.8247	31.5	0	0	0	0.0	8	1	0	0	0	1	0
MUYO587476	Hydrogen peroxide	OO	34.014	0.01739999999999997	40.46	2	2	0	0.0	14	2	0	0	0	2	0
MULK758998	Hydrocodone	O=C4[C@@H]5Oc1c2c(ccc1OC)C[C@H]3N(CC[C@]25[C@H]3CC4)C	299.37000000000006	1.9333000000000002	38.77	4	0	1	0.6111111111111112	116	22	5	1	4	4	0
MUQU503007	Ketamine	Clc1ccccc1C2(NC)CCCCC2=O	237.7299999999999	2.897800000000001	29.1	2	1	2	0.46153846153846156	86	16	2	1	1	3	1
MUVZ445901	Ketoprofen	CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)O	254.285	3.1057000000000006	54.370000000000005	2	1	4	0.125	96	19	2	2	0	3	0
MUOW890475	Α-Ketoglutaric acid	O=C(O)C(=O)CCC(=O)O	146.098	-0.49509999999999993	91.67	3	2	4	0.4	56	10	0	0	0	5	0
MUUP683513	LSD	CCN(CC)C(=O)[C@H]1CN([C@@H]2Cc3c[nH]c4c3c(ccc4)C2=C1)C	323.44000000000005	2.9060000000000006	39.34	2	1	3	0.45	126	24	4	2	2	4	0
MUZF982672	Lithium citrate	[Li+].[Li+].[Li+].O=C([O-])CC(O)(C([O-])=O)CC(=O)[O-]	209.92199999999994	-14.240600000000002	140.62	7	1	5	0.5	74	16	0	0	0	10	0
MURW848010	Lithium carbonate	[Li+].[Li+].[O-]C([O-])=O	73.89	-8.439	63.19	3	0	0	0.0	24	6	0	0	0	5	0
MUXG748765	Lactose	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O	342.297	-5.397199999999994	189.52999999999997	11	8	4	1.0	136	23	2	0	2	11	0
MUGV110131	Lycopene	C(\C=C\C=C(\CC/C=C(\C)C)C)(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(\C)CC\C=C(/C)C)C)C)C)C	536.8880000000004	12.937999999999976	0.0	0	0	16	0.35	216	40	0	0	0	0	0
MUMI344597	Methanol	CO	32.042	-0.3915	20.23	1	1	0	1.0	14	2	0	0	0	1	0
MUDH008689	Morphine	CN1CC[C@]23C4=C5C=CC(O)=C4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5	285.343	1.1981	52.93000000000001	4	2	0	0.5294117647058824	110	21	5	1	4	4	0
MULS903611	Modafinil	O=S(C(c1ccccc1)c2ccccc2)CC(=O)N	273.357	2.01	60.16	2	1	5	0.13333333333333333	98	19	2	2	0	4	0
MUMB547285	Methadone	CCC(C(C1=CC=CC=C1)(C2=CC=CC=C2)CC(N(C)C)C)=O	309.4530000000001	4.292000000000003	20.310000000000002	2	0	7	0.38095238095238093	122	23	2	2	0	2	0
MUBY455156	Nitrate	[N+](=O)([O-])[O-]	62.004000000000005	-0.23910000000000006	66.2	3	0	0	0.0	24	4	0	0	0	4	0
MUUL133977	Nitroglycerin	C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]	227.08499999999995	-1.0200999999999996	157.11	9	0	8	1.0	86	15	0	0	0	12	0
MUPD600448	Nitric acid	[N+](=O)(O)[O-]	63.01200000000001	-0.34770000000000006	63.370000000000005	2	1	0	0.0	24	4	0	0	0	4	0
MUHG694767	Nicotinamide	c1cc(cnc1)C(=O)N	122.12699999999998	0.1805	55.980000000000004	2	1	1	0.0	46	9	1	1	0	3	0
MUPW131205	Nitronium ion	O=[N+]=O	46.005	-0.4136000000000001	48.24	2	0	0	0.0	16	3	0	0	0	3	0
MUFV496929	Ozone	[O-][O+]=O	47.997	-1.1219999999999999	51.43	2	0	0	0.0	18	3	0	0	0	3	0
MUGD809667	Oxycodone	O=C4[C@@H]5Oc1c2c(ccc1OC)C[C@H]3N(CC[C@]25[C@@]3(O)CC4)C	315.369	1.0482000000000002	59.0	5	1	1	0.6111111111111112	122	23	5	1	4	5	0
MUHP539378	Propane	CCC	44.096999999999994	1.4163	0.0	0	0	0	1.0	20	3	0	0	0	0	0
MUZQ024551	Purine	c1c2c(nc[nH]2)ncn1	120.115	0.3528999999999999	54.46	3	1	0	0.0	44	9	2	2	0	4	0
MUTN554921	Pyrimidine	n1cnccc1	80.08999999999999	0.47659999999999997	25.78	2	0	0	0.0	30	6	1	1	0	2	0
MUYC066779	Phosphate	[O-]P([O-])([O-])=O	94.97	-2.8245999999999998	86.25	4	0	0	0.0	32	5	0	0	0	5	0
MUJO504108	Phosphate	[O-][P+]([O-])([O-])[O-]	94.97	-3.8948	92.24	4	0	0	0.0	32	5	0	0	0	5	0
MUNS510851	Pyridine	c1ccncc1	79.10199999999998	1.0816	12.89	1	0	0	0.0	30	6	1	1	0	1	0
MUEK015132	Phenol	Oc1ccccc1	94.11299999999999	1.3921999999999999	20.23	1	1	0	0.0	36	7	1	1	0	1	0
MUEF531398	Phencyclidine	c1ccccc1C2(CCCCC2)N3CCCCC3	243.3939999999999	4.331900000000004	3.24	1	0	2	0.6470588235294118	98	18	3	1	2	1	0
MUIS251869	PCHP	OC3CCN(C2(c1ccccc1)CCCCC2)CC3	259.3929999999999	3.3027000000000024	23.47	2	1	2	0.6470588235294118	104	19	3	1	2	2	0
MUYI826577	4-Phenyl-4-(1-piperidinyl)cyclohexanol	OC3CCC(c1ccccc1)(N2CCCCC2)CC3	259.3929999999999	3.3027000000000024	23.47	2	1	2	0.6470588235294118	104	19	3	1	2	2	0
MUVM270024	PCAA	O=C(O)CCCCNC2(c1ccccc1)CCCCC2	275.39200000000005	3.690500000000003	49.33	2	2	7	0.5882352941176471	110	20	2	1	1	3	0
MUDE544234	Piperidine	C1CCNCC1	85.15	0.7599	12.03	1	1	0	1.0	36	6	1	0	1	1	0
MUWY686270	Phenothiazine	c1ccc2c(c1)Nc3ccccc3S2	199.278	3.894800000000001	12.03	2	1	0	0.0	68	14	3	2	1	2	0
MUNT679865	Quinine	[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)OC)O)C[C@@H]4CC[N@]1C[C@@H]4C=C	324.42400000000004	3.1732000000000014	45.59	4	1	4	0.45	126	24	5	2	3	4	0
MUSM406941	Riboflavin	c12cc(C)c(C)cc1N=C3C(=O)NC(=O)N=C3N2C[C@H](O)[C@H](O)[C@H](O)CO	376.369	-1.7235599999999995	161.56	9	5	5	0.4117647058823529	144	27	3	1	2	10	0
MUKF868214	Salicylic acid	O=C(O)c1ccccc1O	138.12199999999999	1.0903999999999998	57.53	2	2	1	0.0	52	10	1	1	0	3	0
MUAZ562677	Selenocysteine	O=C(O)[C@@H](N)C[SeH]	168.054	-1.2825999999999997	63.31999999999999	2	2	2	0.6666666666666666	42	7	0	0	0	4	0
MUMB448072	Selenocysteine	O=C([O-])[C@@H]([NH3+])C[SeH]	168.054	-3.3341	67.77	2	1	2	0.6666666666666666	42	7	0	0	0	4	0
MUEI769889	Serotonin	C1=CC2=C(C=C1O)C(=CN2)CCN	176.21899999999994	1.3747	62.03999999999999	2	3	2	0.2	68	13	2	2	0	3	0
MUQE282150	Scopolamine	OC[C@H](c1ccccc1)C(=O)O[C@@H]2C[C@H]3N(C)[C@@H](C2)[C@@H]4O[C@H]34	303.358	0.9180999999999997	62.300000000000004	5	1	4	0.5882352941176471	118	22	4	1	3	5	0
MUTJ780521	Sodium thiopental	[Na+].O=C1NC(=S)/N=C(/[O-])C1(C(C)CCC)CC	264.32599999999996	-2.0034999999999963	64.52	3	1	4	0.7272727272727273	90	17	1	0	1	6	0
MUDK533030	Sulfuric acid	OS(=O)(=O)O	98.07899999999998	-0.6527999999999998	74.6	2	2	0	0.0	32	5	0	0	0	5	0
MUXK088715	Thiamine	Cc2ncc(C[n+]1csc(CCO)c1C)c(N)n2	265.36199999999997	0.60774	75.91	5	2	4	0.4166666666666667	96	18	2	2	0	6	0
MUZJ694322	Tetracycline	C[C@]1(c2cccc(c2C(=O)C3=C([C@]4([C@@H](C[C@@H]31)[C@@H](C(=C(C4=O)C(=O)N)O)N(C)C)O)O)O)O	444.4400000000001	-0.2143999999999992	181.61999999999998	9	6	2	0.4090909090909091	170	32	4	1	3	10	0
MUCJ558012	TNT	Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	227.13199999999998	1.7196200000000006	129.42000000000002	6	0	3	0.14285714285714285	84	16	1	1	0	9	0
MUYF436279	Toluene	Cc1ccccc1	92.14099999999999	1.99502	0.0	0	0	0	0.14285714285714285	36	7	1	1	0	0	0
MUWT815615	Testosterone	O=C1C=C2[C@](C)(CC1)[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CC2)O	288.431	3.879200000000003	37.3	2	1	0	0.8421052631578947	116	21	4	0	4	2	0
MUFJ237688	Theobromine	Cn1cnc2c1c(=O)[nH]c(=O)n2C	180.16699999999997	-1.0397	72.68	5	1	0	0.2857142857142857	68	13	2	2	0	6	0
MUMI261199	Tyrosine	N[C@@H](Cc1ccc(O)cc1)C(O)=O	181.19099999999997	0.3466	83.55000000000001	3	3	3	0.2222222222222222	70	13	1	1	0	4	0
MUMN754589	Tyrosine	[NH3+][C@@H](Cc1ccc(O)cc1)C([O-])=O	181.19099999999995	-1.704900000000001	88.0	3	2	3	0.2222222222222222	70	13	1	1	0	4	0
MUVS082670	Thebaine	COC1=CC=C2[C@@H](C3)N(C)CC[C@@]24C5=C3C=CC(OC)=C5O[C@@H]14	311.38100000000003	2.4245	30.930000000000003	4	0	2	0.47368421052631576	120	23	5	1	4	4	0
MUSQ956751	Urea	C(=O)(N)N	60.05599999999999	-0.9762	69.11	1	2	0	0.0	24	4	0	0	0	3	0
MUTK362158	Uric acid	O=C1Nc2nc(=O)nc2C(=O)N1	166.096	-2.564	107.50999999999999	3	2	0	0.0	60	12	2	1	1	7	0
MUHX162847	Uric acid	Oc0nc(O)nc1c0NC(=O)N1	168.112	-0.9426000000000003	114.88999999999999	5	4	0	0.0	62	12	2	2	0	7	0
MUNF291374	Uric acid	Oc0nc(O)nc1c0N=C(O)N1	168.11200000000002	-0.5303000000000002	115.15	6	4	0	0.0	62	12	2	2	0	7	0
MUTG795963	Uric acid	Oc0nc(O)nc1c0N=C([O-])N1	167.104	-1.1623000000000006	117.98000000000002	6	3	0	0.0	62	12	2	2	0	7	0
MULH394936	Vitamin C	OC[C@H](O)[C@H]1OC(=O)C(O)=C1O	176.124	-1.4074	107.22	6	4	2	0.5	68	12	1	0	1	6	0
MURU659099	Sildenafil	CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C	474.5870000000004	1.6109	113.42	8	1	7	0.5	178	33	4	3	1	11	0
MUHM837091	Xenon	[Xe]	131.29	0.0	0.0	0	0	0	0.0	8	1	0	0	0	1	0
MUAG463086	Paclitaxel	CC1=C2[C@@]([C@]([C@H]([C@@H]3[C@]4([C@H](OC4)C[C@@H]([C@]3(C(=O)[C@@H]2OC(=O)C)C)O)OC(=O)C)OC(=O)c5ccccc5)(C[C@@H]1OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)O)(C)C	853.9180000000003	3.7357000000000022	221.28999999999996	14	4	10	0.44680851063829785	328	62	7	3	4	15	0
MUCU880722	Nitrous oxide	N#[N+][O-]	44.013	0.33728	51.209999999999994	2	0	0	0.0	16	3	0	0	0	3	0
MUTG291611	Nitrous oxide	[N-]=[N+]=O	44.013	-0.1584	53.470000000000006	1	0	0	0.0	16	3	0	0	0	3	0
MUIE399292	Nicotinic acid	OC(=O)c1cccnc1	123.11099999999998	0.7797999999999999	50.19	2	1	1	0.0	46	9	1	1	0	3	0
MUQZ278253	Phenylalanine	c1ccc(cc1)C[C@@H](C(=O)O)N	165.19199999999998	0.641	63.31999999999999	2	2	3	0.2222222222222222	64	12	1	1	0	3	0
MUWM880151	Phenylalanine	c1ccc(cc1)C[C@H](C(=O)O)N	165.19199999999998	0.641	63.31999999999999	2	2	3	0.2222222222222222	64	12	1	1	0	3	0
MUWC996688	Phenylalanine	[NH3+][C@@H](CC1=CC=CC=C1)C([O-])=O	165.19199999999995	-1.4105	67.77000000000001	2	1	3	0.2222222222222222	64	12	1	1	0	3	0
MUEI190502	Phenylalanine	[NH3+][C@H](CC1=CC=CC=C1)C([O-])=O	165.19199999999995	-1.4105	67.77000000000001	2	1	3	0.2222222222222222	64	12	1	1	0	3	0
MURS921820	Nicotine	c1ncccc1[C@@H]2CCCN2C	162.236	1.8483	16.130000000000003	2	0	1	0.5	64	12	2	1	1	2	0
MUYC714726	Psilocybin	CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O	284.25199999999995	1.7435	85.79	3	3	5	0.3333333333333333	104	19	2	2	0	7	0
MUHY772822	Adenine	NC1=NC=NC2=C1N=CN2	135.13	-0.06490000000000012	80.47999999999999	4	2	0	0.0	50	10	2	2	0	5	0
MUCC700205	Proline	C1C[C@H](NC1)C(=O)O	115.13199999999999	-0.17700000000000032	49.33	2	2	1	0.8	46	8	1	0	1	3	0
MUCY964728	Proline	[O-]C(=O)[C@H](CCC2)[NH2+]2	115.13200000000002	-2.5378999999999987	56.739999999999995	2	1	1	0.8	46	8	1	0	1	3	0
MUEQ968067	Uracil	O=C1C=CNC(=O)N1	112.088	-0.9368000000000001	65.72	2	2	0	0.0	42	8	1	1	0	4	0
MUWY720487	Uracil	Oc1nccc(O)n1	112.088	-0.11220000000000013	66.24000000000001	4	2	0	0.0	42	8	1	1	0	4	0
MUML706023	Lead(II) azide	[N-]=[N+]=N[Pb]N=[N+]=[N-]	291.242	1.1412	97.52	2	0	2	0.0	34	7	0	0	0	7	0
MUOG127861	Mescaline	O(c1cc(cc(OC)c1OC)CCN)C	211.26099999999994	1.2136	53.71	4	1	5	0.45454545454545453	84	15	1	1	0	4	0
MUNZ293447	Hydrogen cyanide	C#N	27.025999999999996	0.13978	23.79	1	0	0	0.0	10	2	0	0	0	1	0
MUSD088708	Potassium ferrocyanide	[K+].[K+].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.[K+].[K+]	368.345	-11.885820000000002	142.73999999999998	6	0	0	0.0	66	17	0	0	0	11	0
MUCH657108	Pentaerythritol tetranitrate	C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-]	316.13500000000005	-1.1939999999999997	209.48	12	0	12	1.0	120	21	0	0	0	16	0
MUWP093356	Clozapine	CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl	326.831	3.7227000000000023	30.869999999999997	4	1	0	0.2777777777777778	118	23	4	2	2	5	1
MUJC711103	Calcium carbonate	[Ca+2].[O-]C([O-])=O	100.086	-2.8278000000000003	63.19	3	0	0	0.0	24	5	0	0	0	4	0
MUIF642600	Mustard gas	ClCCSCCCl	159.08100000000002	2.1972000000000005	0.0	1	0	4	1.0	44	7	0	0	0	3	2
MUIK050682	Phosgene	ClC(Cl)=O	98.916	1.584	17.07	1	0	0	0.0	24	4	0	0	0	3	2
MUAB203740	Phenytoin	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3	252.273	1.7696	58.2	2	2	2	0.06666666666666667	94	19	3	2	1	4	0
MUEI757506	Sucralose	Cl[C@H]2[C@H](O[C@H](O[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CCl)CCl)[C@H](O)[C@H]2O)CO	397.63500000000016	-1.6561000000000008	128.84	8	5	5	1.0	136	23	2	0	2	11	3
MUWI103696	Dopamine	NCCc1cc(O)c(O)cc1	153.18099999999998	0.5989999999999998	66.48	3	3	2	0.25	60	11	1	1	0	3	0
MUAH426970	Polyvinylpyrrolidone	N1(C(CCC1)=O)[C@@H](C*)*	111.14399999999999	0.45179999999999987	20.310000000000002	1	0	2	0.8333333333333334	44	8	1	0	1	4	0
MUFL361361	Hydronium	[OH3+]	19.023	-0.9218999999999999	33.0	0	0	0	0.0	8	1	0	0	0	1	0
MUJV987034	Methylchloroisothiazolinone	ClC=1SN(C(=O)C=1)C	149.602	1.1002	22.0	3	0	0	0.25	44	8	1	1	0	4	1
MUYV054280	Fructose	O[C@H]1[C@H](O)[C@H](O[C@]1(O)CO)CO	180.15599999999998	-3.2197999999999998	110.38000000000001	6	5	2	1.0	72	12	1	0	1	6	0
MUYW137481	Indigo dye	c1ccc2c(c1)C(=O)/C(=C\3/C(=O)c4ccccc4N3)/N2	262.268	2.8148	58.2	4	2	0	0.0	96	20	4	2	2	4	0
MUYB159892	Melanin	CC1=C2C3=C(C4=CNC5=C(C(=O)C(=O)C(=C45)C3=CN2)C)C(=O)C1=O	318.28800000000007	1.3266399999999994	99.85999999999999	4	2	0	0.1111111111111111	116	24	5	5	0	6	0
MUWZ062952	Domoic acid	O=C(O)[C@H]1NC[C@H](/C(=C\C=C\[C@H](C(=O)O)C)C)[C@@H]1CC(=O)O	311.33400000000006	0.9730999999999994	123.93000000000002	4	4	7	0.5333333333333333	122	22	1	0	1	7	0
MUGG605626	Sucrose	O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@@]2(O[C@@H]([C@@H](O)[C@@H]2O)CO)CO	342.2970000000001	-5.395599999999993	189.52999999999997	11	8	5	1.0	136	23	2	0	2	11	0
MUWE765014	Sulfur dioxide	O=S=O	64.065	-0.6701999999999999	34.14	2	0	0	0.0	18	3	0	0	0	3	0
MUHL551460	Carbonic acid	O=C(O)O	62.02400000000001	0.2224	57.53	1	2	0	0.0	24	4	0	0	0	3	0
